rank,time,athlete,club,category,distance,competition_date,competition_type,competition_name,location,ligue,department,type,level
24,13:18,PARMENTIER Axel,,MIM/09,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
25,13:37,HECKLEN Achille,,MIM/10,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
26,13:53,DAYA Nahel,,BEM/12,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
27,14:10,CARTADE Celeste,2215797,BEF/11,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
28,14:43,GRAFF Lucas,,MIM/10,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
29,15:31,BUECHER Arthur,,MIM/09,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
30,15:55,MAGINOT Sarah,,BEF/11,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
1,20:33,ATSE-HERRERA Jonathan (CIV),Entente De Haute Alsace*,M0M/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
2,20:42,OESTERLE Cedric,Running Team Schweighouse/mode,M0M/85,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
3,21:39,PASTOR Fabien,,SEM/91,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
4,21:44,ROUSSET Martin,,M0M/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
5,21:49,REMUSON Denis,Entente Grand Mulhouse Athle*,M0M/86,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
6,22:02,MANN Jeremy,Pays De Colmar Athletisme*,M0M/88,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
7,22:35,KREBS Joffrey,,SEM/92,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
8,22:38,MISCHEL Jerome,Pays De Colmar Athletisme*,M0M/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
9,23:03,KOCH Axel,,ESM/04,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
10,23:08,FABING Gaetan,,M0M/89,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
11,23:23,KREIDER Leo,Entente De Haute Alsace*,CAM/08,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
12,23:24,WEISENHORN Allan,Ac Huningue,M0M/89,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
13,23:31,LOCHER Michael,Entente De Haute Alsace*,M0M/89,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
14,23:42,KETTLER Edouard,,M0M/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
15,24:07,ZEHLER Fabrice,,M0M/86,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
16,24:09,DUBOIS David,Entente Grand Mulhouse Athle*,M1M/82,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
17,24:10,SCHAFFNER Frederic,,M1M/80,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
18,24:17,REBER Damien,,SEM/91,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
19,24:29,MILADI Abdallah,,M1M/83,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
20,24:33,LOETSCHER Matthieu,,M0M/88,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
21,24:45,OLHAUSEN Philippe,,M2M/78,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
22,24:46,MAGINOT Pascal,,M1M/81,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
23,25:03,LIBOLD Leo,,CAM/07,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
24,25:03,GHIMBEU Cristian,,CAM/07,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
25,25:08,BURGUNDER Thomas,,M0M/86,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
26,25:08,COUSSON Albin,,SEM/00,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
27,25:11,CHALLA Noe,,JUM/06,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
28,25:12,KESSLER Arnaud,,M3M/74,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
29,25:28,FERREIRA Filipe,Pays De Colmar Athletisme*,M3M/73,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
30,25:40,ISSENLOR David,,M2M/78,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
31,25:41,ROSEL Gregory,,SEM/93,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
32,25:47,GEYER Antoine,,SEM/93,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
33,25:50,MEHL Carole,,M0F/86,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
34,25:50,DUVAL Axel,,M0M/88,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
35,26:02,BOUYER Cyril,,SEM/92,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
36,26:03,KOEHL Louan,,CAM/07,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
37,26:12,BRENGARTNER Frank (Ger),,M3M/74,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
38,26:18,GOLEA Elsa,,M0F/85,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
39,26:19,JARRY Corentin,,M0M/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
40,26:27,RASETTI Maxime,,M0M/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
41,26:56,GUILLOU Erwan,,SEM/91,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
42,26:57,JANVIER Dorian,,SEM/96,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
43,26:58,FREY Jules,,CAM/08,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
44,27:04,REISCHMANN Dieter (GER),Pays De Colmar Athletisme*,M3M/72,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
45,27:20,CHAABNA Farouk,,M0M/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
46,27:23,DE LUCA Bruno,,M1M/84,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
47,27:28,RICHE Jean,,CAM/07,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
48,27:32,NAUD Frederic,,M3M/72,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
49,27:34,ZINDERSTEIN Jeremie,,M0M/85,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
50,27:35,SANCHEZ Julien,,M2M/76,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
51,27:35,LECHEKHAB Lahid,,M3M/74,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
52,27:36,PENNETIER Geoffrey,,M0M/89,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
53,27:38,VARGA Laurent,,M3M/72,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
54,27:40,NUSSBAUMER Jean David,,M3M/71,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
55,27:41,CHARABIE Cynthia,,M1F/83,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
56,27:43,NAVILIAT Arnoud,,M0M/88,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
57,27:47,FREY Sebastien,EHA - S/L US THANN ATHLETISME,M1M/84,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
58,27:48,SIMON Eric,Pays De Colmar Athletisme*,M2M/75,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
59,27:52,VICHARD Cedric,,M2M/78,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
60,27:57,MANN Julien,,M0M/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
61,28:00,BOUYER Camille,,M0F/89,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
62,28:07,MANN Marie-Sandrine,Pays De Colmar Athletisme*,M0F/88,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
63,28:14,ANTONY Severine,,M2F/79,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
64,28:34,COUSSON Arnaud,,M3M/71,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
65,28:35,BOURDON Maurice,,M6M/59,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
66,28:37,HAISMANN Jean-Luc,Entente De Haute Alsace*,M4M/65,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
67,28:41,GRAFF Jean,PCA - S/L CCA ROUFFACH,M1M/80,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
68,28:46,PARMENTIER Thierry,,M4M/68,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
69,28:57,HOUGLEUR Charles,,SEM/00,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
70,29:09,BLONDE Loic,,SEM/94,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
71,29:18,NNORUKA Samuel,Entente Grand Mulhouse Athle*,M3M/72,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
72,29:19,BARON Kevin,,M0M/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
73,29:26,HEBDING Olivier,,SEM/90,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
74,29:26,WUCHER Laura,Entente De Haute Alsace*,M0F/89,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
75,29:40,SIMONET Guillaume,,SEM/94,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
76,29:57,BUECHER Sebastien,,M3M/74,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
77,30:02,LAMORLETTE Steve,EHA - S/L ALTKIRCH ATHLE SUNDG,M3M/73,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
78,30:09,BURGER Jean-Luc,Entente Grand Mulhouse Athle*,M6M/55,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
79,30:25,BALLY Alain,,M6M/56,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
80,30:37,CHARBONNIER Antoine,,SEM/96,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
81,30:40,GAUGLER Mathieu,EHA - S/L US THANN ATHLETISME,M2M/77,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
82,31:00,SCHNECK Geoffroy,,M1M/82,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
83,31:04,EWERT Alain,,M5M/60,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
84,31:16,NAFFZGER Jenny,,SEF/99,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
85,31:19,TOUBI Karim,,M3M/73,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
86,31:34,OTT David,,M3M/73,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
87,31:43,NNORUKA Paul,,JUM/05,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
88,32:02,LINDECKER Nathalie,Entente De Haute Alsace*,M2F/77,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
89,32:05,LIDY Aurelia,,M2F/78,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
90,32:16,DURAIN Yannick,,SEM/96,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
91,32:16,DURAIN Maxime,,SEM/95,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
92,32:18,SIMONET Jerome,,SEM/97,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
93,32:25,SERO Aurelie,PCA - S/L ATHLETIC COLMAR LIBE,M2F/75,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
94,32:30,MULLER Patrick,,M5M/64,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
95,32:41,HERTER Michael,,M0M/86,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
96,32:45,SERO Benoit,PCA - S/L ATHLETIC COLMAR LIBE,M2M/75,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
97,32:53,GONZALEZ Julie,,SEF/93,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
98,32:56,SCHITTLY Aurelie,,M0F/89,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
99,33:02,NOWACKI Sarah,,M1F/83,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
100,33:05,UHRING Nicole,Entente De Haute Alsace*,M4F/67,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
101,33:16,BIRGER Marlene,,M0F/86,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
102,33:17,BEHRA Carine,,M1F/80,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
103,33:21,CHALLA Abdel,,M2M/76,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
104,33:47,CSOBAN Steven,,SEM/94,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
105,33:48,REHM Coralie,,SEF/01,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
106,33:48,HEYER Isaline,,ESF/04,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
107,33:53,VIZZARRI Lina,Pays De Colmar Athletisme*,M3F/73,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
108,33:54,SIG Myriam,,M5F/63,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
109,34:01,DAYA Youcef,,M1M/82,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
110,34:01,GOETZMANN Guillaume,,M0M/86,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
111,34:02,GUTFREUND Claude,,M2M/78,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
112,34:02,WURTZ Jean-Marie,,M7M/54,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
113,34:09,GAUDIN Thomas,,M0M/88,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
114,34:30,MONNIER Sylvie,Entente De Haute Alsace*,M1F/80,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
115,34:41,GRAFF Joelle,PCA - S/L CCA ROUFFACH,M0F/85,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
116,34:47,HUG Cindy,EHA - S/L ALTKIRCH ATHLE SUNDG,M2F/79,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
117,35:21,ANSELM Marie,EHA - S/L CLUB ATHLETIC MOOSCH,M1F/82,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
118,35:29,CARON Gaelle,EHA - S/L US PULVERSHEIM ATHLE,M1F/82,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
119,36:04,BERNHARD Laurence,,M2F/76,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
120,36:54,HAENSLER Mathilde,,SEF/93,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
121,37:07,AUBERT Arnaud,,M1M/81,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
122,37:14,METZGER Pascaline,Entente De Haute Alsace*,M4F/69,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
123,37:14,MONTAGNON Gaelle,Entente De Haute Alsace*,M2F/76,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
124,37:14,SCHIRO Louis,Entente De Haute Alsace*,M6M/57,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
125,37:46,KERN Melanie,,SEF/90,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
126,38:00,ZINDERSTEIN Charlotte,EHA - S/L US PULVERSHEIM ATHLE,M0F/86,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
127,38:10,URSPRUNG Caroline,,SEF/98,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
128,38:32,HORNY- LERCH Laetitia,,M0F/88,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
129,39:00,HALIB Moon,,M4F/68,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
130,39:16,BOETSCH Diane,,SEF/97,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
131,39:29,GROFF Stephanie,,M0F/87,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
132,39:41,WOLFERSPERGER Elise,,M0F/85,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
133,40:06,LUTY Emmannuelle,,M2F/76,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
134,40:20,BLATZ Frederic,,M2M/76,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
135,41:17,MOINS Solene,,SEF/96,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
136,41:19,AURET Jean-Marc,,M4M/67,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
137,41:30,ARNOULT Isabel (ARG),EHA - S/L CLUB ATHLETIC MOOSCH,M4F/65,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
138,42:13,LAURENT Maina,,SEF/94,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
139,42:50,GERAUD Sylvie,,M3F/70,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
140,43:07,STEINERT Olivier,,M3M/72,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
141,43:29,BOSSERT Sabine,,M6F/58,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
142,43:29,MUELLER Olaf (Ger),,M4M/67,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
143,45:28,MERCURIO Anastasiia (Rus),,M3F/74,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
144,45:56,MEYER Huguette,,M5F/60,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
145,46:13,MECHALI Paul,,M8M/47,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
146,46:16,MADER Kevin (Ger),,SEM/94,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
147,47:21,EIDENSCHENK Antoinette,,M2F/75,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
148,47:21,GUTFREUND Estelle,,M1F/81,2500,06/01,Cross,Cross banana fit,Wittenheim,G-E,68.0,Meet,Dép
1,28'12'',OURRAD Karim,CAEN ATHLETIC CLUB*,M0M/89,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,28'17'',BICHEREL Yoann,Ca Cauchois,M0M/85,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,28'21'',PLAISSY Christophe,,M0M/85,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
4,29'03'',CARBALLO Marc,Ca Cauchois,M1M/83,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
5,29'10'',GOULARD Sylvain,LE HAVRE S'PORT ATHLETISME,M1M/82,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
6,30'09'',LEPILLER David,Co Bolbec,SEM/99,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
7,30'13'',FOREST Gwenael,Sc Bernay,M1M/80,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
8,30'54'',PIEDNOEL Emmanuel,,SEM/90,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
9,31'51'',TALAOUGHANIM Kamel,Le Havre Sport Athletisme,M0M/88,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
10,32'29'',TREMBLE Paul,Vc Bocage Vire,ESM/04,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
11,32'38'',RUBIGNY Leo,,SEM/99,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
12,32'45'',VITTECOQ Vincent,Montville Running Club,M1M/82,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
13,33'02'',VILLETTE Frederic,Montville Running Club,M3M/74,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
14,33'47'',SAUTREUIL Aurelien,S/l Cs Gravenchon,SEM/99,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
15,34'12'',SOURDON Guillaume,Sc Bernay,M1M/83,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
16,35'20'',VAUCHEL Wilfried,Groupement Athletique Basse Se,M3M/73,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
17,35'23'',VIARD Francois,Auffay Running Club,M2M/78,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
18,35'38'',CASTAGNOS Denis,As Montoise,M3M/74,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
19,37'30'',TRIFFAULT Jean-Christophe,As Montoise,M3M/71,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
20,38'13'',FOUGY Florian,Auffay Running Club,M0M/87,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
23,40'32'',RAIMBOURG Thomas,Gaccsr,SEM/96,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
24,40'37'',GERARD Patrice,Team Tsm,M2M/77,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
25,40'55'',VATINE Alexandre,Gaccsr,SEM/91,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,26'42'',ROCCHI Juliette,Auffay Running Club,SEF/95,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,30'02'',SCHLUR Amandine,Auffay Running Club,M1F/83,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,30'38'',VANDERMEERSCH Emilie,Gaccsr,M1F/82,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,16'28'',CUVELLIER Bruno,Yvetot Triatlon,M4M/67,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,17'08'',DUSEAUX Alain,,M4M/66,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,17'32'',DESERT Bruno,Gaccsr,M4M/67,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
4,19'14'',DESERT Philippe,Gaccsr,M6M/59,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
5,21'09'',LEVASSEUR Leon,Viking Club Yvetot,M7M/50,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
6,21'22'',GEFFRAY Michel,Auzouville,M6M/55,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
7,21'19'',HAUGUEL Arnaud,Gaccsr,M5M/64,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
8,21'23'',LEFEBVRE Claude,Auffay Running Club,M6M/56,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
9,29'27'',LE ROUX Jean-Pierre,Gaccsr,M7M/54,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
10,31'55'',SIMON Jean-Paul,Gaccsr,M7M/51,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
1,11'45'',DEMARESCAUX Hugo,As Montoise,CAM/07,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
2,15'36'',TRIFFAULT Nolwenn,As Montoise,JUF/05,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
3,11'54'',BROUARD Patricia,Gaccsr,M5F/62,7625,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76.0,Meet,Dép
