rank,time,athlete,club,category,competition_date,competition_type,competition_name,location,ligue,department,type,level,distance
25,40'55'',VATINE Alexandre,Gaccsr,SEM/91,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
1,26'42'',ROCCHI Juliette,Auffay Running Club,SEF/95,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
2,30'02'',SCHLUR Amandine,Auffay Running Club,M1F/83,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
3,30'38'',VANDERMEERSCH Emilie,Gaccsr,M1F/82,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
1,16'28'',CUVELLIER Bruno,Yvetot Triatlon,M4M/67,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
2,17'08'',DUSEAUX Alain,,M4M/66,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
3,17'32'',DESERT Bruno,Gaccsr,M4M/67,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
4,19'14'',DESERT Philippe,Gaccsr,M6M/59,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
5,21'09'',LEVASSEUR Leon,Viking Club Yvetot,M7M/50,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
6,21'22'',GEFFRAY Michel,Auzouville,M6M/55,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
7,21'19'',HAUGUEL Arnaud,Gaccsr,M5M/64,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
8,21'23'',LEFEBVRE Claude,Auffay Running Club,M6M/56,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
9,29'27'',LE ROUX Jean-Pierre,Gaccsr,M7M/54,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
10,31'55'',SIMON Jean-Paul,Gaccsr,M7M/51,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
1,11'45'',DEMARESCAUX Hugo,As Montoise,CAM/07,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
2,15'36'',TRIFFAULT Nolwenn,As Montoise,JUF/05,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
3,11'54'',BROUARD Patricia,Gaccsr,M5F/62,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
4,17'18'',GIS RENIER Sophie,Gaccsr,M5F/63,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
5,18'40'',CHAPON Cyrille,Gaccsr,M5F/63,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
1,-,CAUVET Enzo,As Montoise,MIM/09,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
2,-,VALLEE Clara,As Montoise,CAF/07,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
1,9'14'',DAVID Valentin,Gaccsr,BEM/11,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
2,9'49'',HEUDEBOURG Idriss,As Montoise,BEM/12,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
3,9'55'',DEMARESCAUX Emma,As Montoise,MIF/10,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
4,9'59'',TROLONG Anais,As Montoise,MIF/09,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
5,10'02'',VANDERMEERSCH Simon,Gaccsr,BEM/12,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
6,10'11'',BARON Arthur,Gaccsr,BEM/12,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
7,10'18'',BLOT Valentin,Gaccsr,BEM/12,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
8,10'41'',VANDERMEERSCH Chloe,Gaccsr,MIF/09,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
9,15'06'',PETIT Lili-Rose,Gaccsr,MIF/10,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
1,-,CARBALLO Margaux,Ca Cauchois,BEF/12,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
2,-,ABIVEN Oceane,As Montoise,BEF/12,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
3,-,FRAT Mila,As Montoise,BEF/12,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
4,-,DECULTOT Juliette,Gaccsr,BEF/12,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
5,-,CLEMENT Berenice,Ca Cauchois,BEF/11,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
6,-,CHAUVIDON Julia,Gaccsr,BEF/11,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
2,5'25'',BICHEREL Eliott,Ca Cauchois,POM/13,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
3,5'33'',ABIVEN Leane,As Montoise,POF/14,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
4,5'40'',DANET Sacha,Gaccsr,POM/14,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
5,5'44'',GREVRENT Martin,As Montoise,POM/14,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
6,7'10'',FLAMBARD Lea,Gaccsr,POF/14,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
7,7'43'',CHAUVIDON Maria,Gaccsr,POF/14,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
8,7'56'',BONNEAU Elsa,Gaccsr,POF/14,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
,,,,,06/01,Cross,Championnat départemental  de cross fsgt,Bolbec,NOR,76,Meet,Dép,7625
,,,,,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
1,12'23'',CUVILLIER Romain,Cahors A,SEM/01,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
2,13'41'',MAURY Sebastien,Cahors A,M2M/78,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
3,14'22'',CROS-GRANET Romane,Sporting Club Gourdon Athletis,JUF/05,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
4,15'34'',ANDRE Julien,Cahors A,SEM/00,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,15'42'',PONS Emilien,Pompiers,CAM/07,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,16'14'',ANDRIEU MENCHI Arthur,Pompiers,CAM/07,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
5,16'22'',BELLOT Vincent,Figeac Ac,SEM/96,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,16'41'',PATERNE Valentin,,JUM/06,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
6,16'52'',BERTRAND Thomas,Ac Gigouzac Saint Germain,M2M/79,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,17'12'',TIHY Hugo,Pompiers,CAM/08,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,17'47'',DELSAHUT Noah,Pompiers,CAM/08,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,18'08'',CHASSAGNAC Enzo,,JUM/06,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,18'14'',GOUABAULT Mathias,Pompiers,CAM/07,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,18'30'',BOUYGUES Faustine,Pompiers,JUF/06,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
7,19'02'',TRUDGETT Didier,Ac Gigouzac Saint Germain,M6M/55,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,19'18'',BELLANGER Kylian,Pompiers,CAM/08,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,19'43'',TEIXEIRA GODET Raphael,Pompiers,CAM/08,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
8,20'00'',CERTHOUX Michel,Ac Gigouzac Saint Germain,M7M/52,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,21'04'',ZANETTI Marc Antoine,Pompiers,CAM/08,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,22'35'',BRUZI Nathan,Pompiers,CAM/07,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,29'44'',GASPAR Clara,Pompiers,JUF/06,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,29'59'',LASFARGUES Emmy,Pompiers,JUF/06,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
1,5'06'',CHODJAI ROBIN Marion,Figeac Ac,POF/14,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,5'50'',CUJUS Lisa,,POF/13,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
2,6'19'',MAURY Axelle,Cahors A,POF/14,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
3,7'20'',TARIN Louna,Sporting Club Gourdon Athletis,POF/14,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
"Résultats Équipes | Poussins POM - 1080m - - POM   1AC GIGOUZAC SAINT GERMAIN 122pt 2 (10), 3 (26), 8 (14), 9 (28)",1,22pt,,,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,4'45'',FRERY Younes,S/l Stade Villeneuve-sur-lot,POM/14,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
1,4'52'',GALLEZ Johan,Figeac Ac,POM/14,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
2,4'55'',BRAULT Lucas,Ac Gigouzac Saint Germain,POM/14,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
3,5'03'',LESPINASSE Theo,Ac Gigouzac Saint Germain,POM/13,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,5'11'',CALLES Esteban,,POM/14,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
4,5'15'',LE LEZ Louis,Sporting Club Gourdon Athletis,POM/14,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
5,5'18'',BARBIER FAGES Lucien,Figeac Ac,POM/13,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,5'21'',DIOP Chab,,POM/13,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
6,5'25'',GENNESON-BATHEROSSE Aubin,Sporting Club Gourdon Athletis,POM/14,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
7,5'25'',LEKHAL Rayyan,Figeac Ac,POM/14,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
8,5'32'',COURTIOL Mathieu,Ac Gigouzac Saint Germain,POM/14,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
9,5'40'',LONG LEMAUFF Leo,Ac Gigouzac Saint Germain,POM/14,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
10,5'46'',CHIVE Antoine,Cahors A,POM/13,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
1,12'33'',CUJUS Tom,Cahors A,BEM/11,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
2,12'36'',MAUREL Valentin,Cahors A,BEM/12,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
3,12'50'',CHODJAI ROBIN Estelle,Figeac Ac,MIF/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
4,12'57'',CALMETTES Aelis,Figeac Ac,MIF/10,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
5,13'03'',HAMONET  Robin,Sporting Club Gourdon Athletis,BEM/12,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,13'14'',DIOP Aiden,,BEM/11,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
6,13'40'',PERFETTINI Noah,Cahors A,BEM/11,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
7,13'52'',BOURGEOIS Julie,Cahors A,MIF/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
8,14'01'',MERIT Clea,Cahors A,MIF/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
9,14'02'',LEKHAL Salaheddine,Figeac Ac,BEM/12,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,14'04'',COLDEFY Remy,,BEM/12,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
10,15'16'',VUILLAUME Lisa,Sporting Club Gourdon Athletis,MIF/10,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,16'24'',LAFON Amelie,,MIF/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,18'30'',KAING Jade,Pompiers,MIF/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,18'30'',MAZOUZ Maina,Pompiers,MIF/10,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,12'53'',BOUSSAC Charlotte,S/l Club Athletique Caussadais,BEF/12,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
1,12'54'',DEBRUN Juliette,Cahors A,BEF/12,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
2,13'35'',TROUCHE Louise,Figeac Ac,BEF/11,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
3,14'09'',JOHNSON Jade,Figeac Ac,BEF/12,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
4,14'23'',MAURY Roxane,Cahors A,BEF/11,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
5,14'31'',GAUCHER Elea,Figeac Ac,BEF/12,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
6,14'39'',BERTRAND Garance,Ac Gigouzac Saint Germain,BEF/11,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
7,14'44'',LAPOTRE Juliette,Cahors A,BEF/12,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
8,15'59'',FRAYSSI Coline,Ac Gigouzac Saint Germain,BEF/11,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
9,16'01'',BRU Cloe,Sporting Club Gourdon Athletis,BEF/12,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
"Résultats Équipes | Minimes Garçons/ Cadettes MIM/CAF 3350m - MI  -    1AC GIGOUZAC SAINT GERMAIN 115pt 1 (4), 3 (32), 4 (2), 7 (21)",1,15pt,,,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
1,14'44'',BERTRAND Marius,Ac Gigouzac Saint Germain,MIM/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,14'52'',DEILHES Hugo,Pompiers,MIM/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,14'55'',COURTIOL Raphael,,MIM/10,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
2,15'00'',RICHARD Noe,Figeac Ac,MIM/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,15'07'',LEJEUNE Juliette,Pompiers,CAF/07,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
3,16'13'',MARTY Arthur,Ac Gigouzac Saint Germain,MIM/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,16'19'',BESSIERES Helio,,MIM/10,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
4,16'54'',BAUDRIT Nolan,Ac Gigouzac Saint Germain,MIM/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
5,16'59'',PHILIPPE BLASIN Leelou,Cahors A,CAF/08,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
6,17'49'',MILHAVET Mathieu,Figeac Ac,MIM/10,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
7,18'01'',DOS SANTOS Jules,Sporting Club Gourdon Athletis,MIM/10,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,18'21'',CONTIVAL Elina,Pompiers,CAF/08,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
8,18'41'',GUENEGO Sarah,Sporting Club Gourdon Athletis,CAF/07,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,19'11'',LALAQUE Guilliann,Pompiers,MIM/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,20'51'',JARDIDT Mateo,Pompiers,MIM/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
9,20'58'',IMBERT Fernand,Ac Gigouzac Saint Germain,MIM/10,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,21'45'',MOYART Jade,Pompiers,CAF/08,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,21'50'',FRAYSSINET Mathis,Pompiers,MIM/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,23'53'',JACOB Jade,Pompiers,CAF/08,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,24'01'',ROUZIER Timothe,Pompiers,MIM/10,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,25'56'',LASFARGUES Chloe,Pompiers,CAF/07,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,26'55'',LEPORC Clarisse,Pompiers,CAF/07,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,27'06'',CHENE Dorian,Pompiers,MIM/09,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
"Résultats Équipes | Espoir/Senior/Master F/ Juniors M 4935m  - M0-M1-M2-M3-M4-M5-M6-M7-M8-M9-M10-M11-M12-M13  -    1S/L SAINT-CERE ATHLETISME CLUB 113pt 1 (163), 2 (155), 4 (164), 6 (160)  2AC GIGOUZAC SAINT GERMAIN 131pt 3 (7), 5 (188), 11 (17), 12 (33)  3ATHLE 46 139pt 7 (219), 8 (45), 10 (36), 14 (42)",1,13pt,2,39pt,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,21'53'',CHADOUTEAU Loreano,Pompiers,JUM/06,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,22'28'',RODRIGUES Jules,Pompiers,JUM/06,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
1,23'49'',SAMMUT Magali,S/l Saint-cere Athletisme Club,M1F/80,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
2,23'50'',COLMAR Caroline,S/l Saint-cere Athletisme Club,M5F/63,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
3,25'01'',DELBUT Celine,Ac Gigouzac Saint Germain,SEF/90,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
4,25'22'',BOTTREAU Isabelle,Ac Gigouzac Saint Germain,M3F/72,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
5,25'48'',VIGUIE Florence,S/l Saint-cere Athletisme Club,M4F/68,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,26'25'',LAPOTRE Antoinette,Cahors A,M1F/81,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
6,26'35'',BELLICAULT Emmanuelle,Ac Gigouzac Saint Germain,M0F/89,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
7,26'54'',PEYRATOUT Maelle,S/l Saint-cere Athletisme Club,SEF/94,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
8,27'22'',PAUZIE Maryline,S/l Saint-cere Athletisme Club,M5F/64,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
9,27'35'',MUSCAT Marlene,Athle 46,M0F/87,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
10,28'00'',VAYSSE Julie,Athle 46,M0F/89,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
11,28'04'',BONAFE Laetitia,Saint-cere Athletisme Club*,M1F/84,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
12,28'21'',LAMICHE Coralie,Athle 46,M1F/84,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,29'28'',LEJEUNE Anne Sophie,Pompiers,M1F/80,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,30'16'',IMBERT Fanny,,M2F/79,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,31'00'',HEREIL Agnes,Pompiers,M2F/78,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
13,32'40'',DUJARDIN Coralie,Ac Gigouzac Saint Germain,M2F/79,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
14,32'41'',PAVARD Ghislaine,Ac Gigouzac Saint Germain,M6F/56,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,33'12'',LAVAYSSE Matheo,Pompiers,JUM/06,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,33'13'',DOUSSET Stephanie,Pompiers,M0F/88,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
15,34'44'',BALBARIE Isabelle,Saint-cere Athletisme Club*,M2F/77,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,35'13'',MARSIS Celia,Pompiers,ESF/03,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
16,35'14'',LUCAS Oriane,Saint-cere Athletisme Club*,SEF/92,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,35'21'',MAGRY Patrick,Pompiers,M3M/73,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,36'39'',BOUYSSOU Fanny,Pompiers,SEF/91,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
17,36'44'',PONTHIER Carine,Athle 46,M2F/76,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
18,36'44'',LASFARGUES Caroline,Athle 46,M2F/76,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,42'11'',LAFAGE Audrey,Pompiers,SEF/94,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
HC,49'26'',BLATY Sophie,Pompiers,M3F/73,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
"Résultats Équipes | Espoirs/Seniors/Masters M - 8090m - - M0-M1-M2-M3-M4-M5-M6-M7-M8-M9-M10-M11-M12-M13  - M   1AC GIGOUZAC SAINT GERMAIN 115pt 1 (16), 2 (11), 4 (1), 8 (34)  2AC GIGOUZAC SAINT GERMAIN 246pt 10 (12), 11 (19), 12 (226), 13 (20)  3ATHLE 46 149pt 6 (35), 7 (44), 16 (43), 20 (39)  4AC GIGOUZAC SAINT GERMAIN 364pt 14 (214), 15 (25), 17 (24), 18 (187)  5AC GIGOUZAC SAINT GERMAIN 490pt 21 (23), 22 (222), 23 (9), 24 (232)  6SAINT-CERE ATHLETISME CLUB* 1110pt 25 (178), 26 (184), 29 (183), 30 (181)",1,15pt,2,49pt,06/01,Cross,Championnat departemental de cross country,Saint germain du bel air,OCC,46,Meet,Dép,3350
